date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:17:40	13543/13543	---MCZ	200	added ('OK')	application/javascript	etag:W/%225edb6ff5-34e7%22	https://cleanservice.com.au/resources/js/home.js	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/js/home.js	(from https://cleanservice.com.au/)
12:17:42	1917/1917	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-77d%22	https://cleanservice.com.au/resources/pic/t/t50.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/t/t50.png	(from https://cleanservice.com.au/promise)
12:17:43	1335/1335	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-537%22	https://cleanservice.com.au/resources/pic/t/t43.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/t/t43.png	(from https://cleanservice.com.au/promise)
12:17:43	2222/2222	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-8ae%22	https://cleanservice.com.au/resources/pic/t/t32.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/t/t32.png	(from https://cleanservice.com.au/promise)
12:17:43	383/383	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-17f%22	https://cleanservice.com.au/resources/pic/t/t44.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/t/t44.png	(from https://cleanservice.com.au/promise)
12:17:44	2057/2057	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-809%22	https://cleanservice.com.au/resources/pic/t/t98.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/t/t98.png	(from https://cleanservice.com.au/promise)
12:17:50	111424/111424	---M--	200	added ('OK')	image/jpeg	etag:%225edb6ff5-1b340%22	https://cleanservice.com.au/resources/pic/bg/bg33.jpg	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/bg/bg33.jpg	(from https://cleanservice.com.au/promise)
12:17:56	146836/146836	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-23d94%22	https://cleanservice.com.au/resources/pic/main/andrea1.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/main/andrea1.png	(from https://cleanservice.com.au/promise)
12:17:58	116341/116341	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-1c675%22	https://cleanservice.com.au/resources/pic/main/suzy1.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/main/suzy1.png	(from https://cleanservice.com.au/promise)
12:18:00	12494/12494	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2010:18:31%20GMT	https://cleanservice.com.au/quality-assurance	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/quality-assurance.html	(from https://cleanservice.com.au/promise)
12:18:01	12568/12568	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2010:18:32%20GMT	https://cleanservice.com.au/non-toxic-cleaning	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/non-toxic-cleaning.html	(from https://cleanservice.com.au/promise)
12:18:05	119902/119902	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-1d45e%22	https://cleanservice.com.au/resources/pic/main/angela1.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/main/angela1.png	(from https://cleanservice.com.au/promise)
12:18:05	162744/162744	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-27bb8%22	https://cleanservice.com.au/resources/pic/main/waleed1.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/main/waleed1.png	(from https://cleanservice.com.au/promise)
12:18:05	93868/93868	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.7.1/jquery.min.js	C:/My%20Web%20Sites/EcoGenies/ajax.googleapis.com/ajax/libs/jquery/1.7.1/jquery.min.js	(from https://cleanservice.com.au/promise)
12:18:08	2496/2496	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-9c0%22	https://cleanservice.com.au/resources/pic/t/t57.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/t/t57.png	(from https://cleanservice.com.au/cleaning-quality)
12:18:08	107055/107055	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-1a22f%22	https://cleanservice.com.au/resources/pic/main/kathleen1.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/main/kathleen1.png	(from https://cleanservice.com.au/promise)
12:18:08	2044/2044	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-7fc%22	https://cleanservice.com.au/resources/pic/t/t56.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/t/t56.png	(from https://cleanservice.com.au/cleaning-quality)
12:18:09	1073/1073	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-431%22	https://cleanservice.com.au/resources/pic/t/t92.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/t/t92.png	(from https://cleanservice.com.au/cleaning-quality)
12:18:09	1000/1000	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-3e8%22	https://cleanservice.com.au/resources/pic/t/t55.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/t/t55.png	(from https://cleanservice.com.au/cleaning-quality)
12:18:14	41753/41753	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-a319%22	https://cleanservice.com.au/resources/pic/main/stampb.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/main/stampb.png	(from https://cleanservice.com.au/cleaning-quality)
12:18:14	149460/149460	---M--	200	added ('OK')	image/jpeg	etag:%225edb6ff5-247d4%22	https://cleanservice.com.au/resources/pic/bg/bg54.jpg	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/bg/bg54.jpg	(from https://cleanservice.com.au/cleaning-quality)
12:18:15	12421/12421	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2010:18:46%20GMT	https://cleanservice.com.au/cleaning-tasks	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/cleaning-tasks.html	(from https://cleanservice.com.au/cleaning-quality)
12:18:15	1865/1865	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-749%22	https://cleanservice.com.au/resources/pic/t/t47.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/t/t47.png	(from https://cleanservice.com.au/cleaning-science)
12:18:16	71904/71904	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-118e0%22	https://cleanservice.com.au/resources/pic/main/diamond62.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/main/diamond62.png	(from https://cleanservice.com.au/cleaning-quality)
